Id,SalePrice
1461,121542.74134697735
1462,155273.80407233027
1463,178860.67634728117
1464,188736.60869257513
1465,199469.16012830613
1466,173690.91460573717
1467,187713.63281826893
1468,160867.7352678295
1469,197755.14397048616
1470,116373.30319919674
1471,181760.63977209854
1472,101280.73264765287
1473,97740.69524866094
1474,136274.89961261777
1475,113698.3704477921
1476,363200.5147744289
1477,254561.34772974282
1478,301727.57906123024
1479,288301.3708232917
1480,487404.55488132406
1481,327041.51666480803
1482,210404.9511359402
1483,176506.58966906066
1484,160015.07508854987
1485,187097.61969387528
1486,192593.69247448392
1487,347921.33368601574
1488,231082.98113563244
1489,200639.05953962312
1490,235542.33245494933
1491,195691.09477439884
1492,95682.69030295822
1493,199858.2032919252
1494,301852.719495054
1495,290823.0701442005
1496,243729.66058241928
1497,174062.83499723056
1498,170408.4621681081
1499,163633.65665686913
1500,156031.80110326386
1501,174447.69508189356
1502,138541.65378537955
1503,281598.21307610534
1504,247965.72162141878
1505,226163.33000626185
1506,184023.9519277633
1507,236593.8104512217
1508,200787.391192435
1509,149718.87598553638
1510,142617.3188819877
1511,157268.20581041722
1512,167051.8765328549
1513,134085.77572541992
1514,152775.53333768202
1515,181100.92359457264
1516,158380.61238152313
1517,174127.29870740077
1518,137115.56238543513
1519,209893.72243120818
1520,130131.18025665515
1521,128369.38378474997
1522,169066.90050693354
1523,104770.98116712684
1524,123108.05246371169
1525,118941.44587143586
1526,110776.28300944183
1527,102916.56054858152
1528,145059.94809685874
1529,148990.95460679027
1530,196560.3805283031
1531,110029.40872553187
1532,94650.83838977639
1533,149696.01644148445
1534,128129.7416103565
1535,143918.44935535957
1536,115345.87180343122
1537,62942.96457692123
1538,157622.41349986216
1539,187403.99954031265
1540,87716.31541520842
1541,148625.0157365596
1542,142931.5370174073
1543,192967.50605434136
1544,86627.15079240646
1545,116549.84680113054
1546,137180.3187827443
1547,137042.48698581985
1548,129918.82486921911
1549,115798.49204312506
1550,132813.19848122023
1551,111455.89109310928
1552,133355.00788400226
1553,141582.67861556358
1554,121853.33653252583
1555,172795.84197224907
1556,96010.06497469051
1557,104018.13467028135
1558,102020.86005227394
